Zipcode,ZipCodeType,City,State,LocationType
10199,STANDARD,G P O OFFICIAL MAIL,NY,NOT ACCEPTABLE
10200,STANDARD,NEW YORK,NY,PRIMARY
10200,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10200,STANDARD,NEW YORK CITY,NY,NOT ACCEPTABLE
10200,STANDARD,NY,NY,NOT ACCEPTABLE
10200,STANDARD,NY CITY,NY,NOT ACCEPTABLE
10200,STANDARD,NYC,NY,NOT ACCEPTABLE
10203,UNIQUE,NEW YORK,NY,PRIMARY
10203,UNIQUE,BANK OF NEW YORK BRM,NY,NOT ACCEPTABLE
10211,UNIQUE,NEW YORK,NY,PRIMARY
10211,UNIQUE,BUSINESS REPLY,NY,NOT ACCEPTABLE
10211,UNIQUE,COOPER,NY,NOT ACCEPTABLE
10212,UNIQUE,NEW YORK,NY,PRIMARY
10212,UNIQUE,TRINITY,NY,NOT ACCEPTABLE
10212,UNIQUE,TRINITY BRM,NY,NOT ACCEPTABLE
10213,UNIQUE,NEW YORK,NY,PRIMARY
10213,UNIQUE,CANAL STREET,NY,ACCEPTABLE
10213,UNIQUE,BUSINESS REPLY,NY,NOT ACCEPTABLE
10242,PO BOX,NEW YORK,NY,PRIMARY
10242,PO BOX,BAR CODE CHURCH STREET,NY,NOT ACCEPTABLE
10249,PO BOX,NEW YORK,NY,PRIMARY
10249,PO BOX,CHURCH STREET BOXES,NY,NOT ACCEPTABLE
10249,PO BOX,MANHATTAN,NY,NOT ACCEPTABLE
10249,PO BOX,NYC,NY,NOT ACCEPTABLE
10256,UNIQUE,NEW YORK,NY,PRIMARY
10256,UNIQUE,DEUTSCHE BANK,NY,ACCEPTABLE
10256,UNIQUE,MANHATTAN,NY,NOT ACCEPTABLE
10256,UNIQUE,NY,NY,NOT ACCEPTABLE
10256,UNIQUE,NYC,NY,NOT ACCEPTABLE
10257,UNIQUE,NEW YORK,NY,PRIMARY
10257,UNIQUE,BANK OF NEW YORK,NY,NOT ACCEPTABLE
10258,UNIQUE,NEW YORK,NY,PRIMARY
10258,UNIQUE,EUROPEAN AMERICAN BANK,NY,NOT ACCEPTABLE
10259,UNIQUE,NEW YORK,NY,PRIMARY
10259,UNIQUE,NEW YORK CITY,NY,ACCEPTABLE
10259,UNIQUE,HSBC BANK,NY,NOT ACCEPTABLE
10260,UNIQUE,NEW YORK,NY,PRIMARY
10260,UNIQUE,JP MORGAN BANK,NY,NOT ACCEPTABLE
10261,UNIQUE,NEW YORK,NY,PRIMARY
10261,UNIQUE,JP MORGAN BANK,NY,NOT ACCEPTABLE
10265,UNIQUE,NEW YORK,NY,PRIMARY
10265,UNIQUE,BARCLAY BANK,NY,NOT ACCEPTABLE
10268,PO BOX,NEW YORK,NY,PRIMARY
10268,PO BOX,MANHATTAN,NY,NOT ACCEPTABLE
10269,UNIQUE,NEW YORK,NY,PRIMARY
10269,UNIQUE,WALL STREET BRM,NY,NOT ACCEPTABLE
10270,STANDARD,NEW YORK,NY,PRIMARY
10270,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10271,STANDARD,NEW YORK,NY,PRIMARY
10271,STANDARD,MANHATTAN,NY,NOT ACCEPTABLE
10272,PO BOX,NEW YORK,NY,PRIMARY
10273,UNIQUE,NEW YORK,NY,PRIMARY
10273,UNIQUE,PECK SLIP BRM,NY,NOT ACCEPTABLE
10274,PO BOX,NEW YORK,NY,PRIMARY
10275,UNIQUE,NEW YORK,NY,PRIMARY
10275,UNIQUE,SHARED BRM,NY,NOT ACCEPTABLE
10276,PO BOX,NEW YORK,NY,PRIMARY
10276,PO BOX,MANHATTAN,NY,NOT ACCEPTABLE
10276,PO BOX,NYC,NY,NOT ACCEPTABLE
10277,UNIQUE,NEW YORK,NY,PRIMARY
10277,UNIQUE,CHURCH STREET BRM,NY,NOT ACCEPTABLE
10278,STANDARD,NEW YORK,NY,PRIMARY
